objectid,filename,title,names,subject,genre,description,location,date,format,rights,language
fundliv01,lc_kkk_min.jpg,Voice of the Knights of the Ku Klux Klan,"Minnesota Historical Society, Ku Klux Klan, North Start Klan no. 2, Knights of the Ku Klux Klan",KKK; Ku Klux Klan; Racism; Extremism; Fundamentalism,Newspaper,Two pages from the newspaper “Voice of the Knights of the Ku Klux Klan” discussing the KKK as an organization and defending their positions.,"Minneapolis, MN","February 8, 1923",image/jpg,Public Domain,English
fundliv02,wg_cam.pdf,"America for Christ: ""communism and God are incompatible"": radio message: by G. M. Robb","Reverend G.M. Robb, D.D., The Christian Amendment Movement",Politics; Christianity; Anti Communism; Christian Nationalism,"Pamphlet, Radio transcript","A pamphlet containing a radio transcript making the argument that America, as a Christian nation, is incompatible with Communism","Pittsburgh, PA",1960,application/pdf,Walter Goldwater Radical Pamphlet Collection,English
fundliv03,wg_acpb.pdf,"""Down with the Constitution!"": Here! Don't hit him! No one was ever converted with a brick nor with a bayonet: written for the multitude by Martin J. Wade. American Citizen Publishing Company. ","Martin J. Wade, American Citizen Publishing Company",Politics; Anti Communism; Constitution,"Pamphlet, Booklet","A writer describes his experience at a pro-communist, anti-constitutional rally before urging the audience to fight these ideas with words instead of violence","Iowa City, IA (written). Davenport, IA (published).",1924,application/pdf,Walter Goldwater Radical Pamphlet Collection,English
fundliv04,wg_ind_am.pdf,Did your congressman vote to aid the communists? How Democratic members of Congress voted on five key bills in 1965. Know Your Congressman’s Record Before You Vote!,"Phoebe Courtney, Kent Courtney, Independent American",Politics; Congress; Anti Communism; Voting,Pamphlet,A pamphlet containing a list of American Congressmen's voting history on five bills which supposedly aided communists,"New Orleans, LA",1965,application/pdf,Walter Goldwater Radical Pamphlet Collection,English
fundliv05,arc_kkk_mich.pdf,Ku Klux Klan in Michigan,"Ku Klux Klan, Michigan State",KKK; Ku Klux Klan; Racism; Extremism; Fundamentalism,Newspaper,A collection of newspaper articles over KKK activity in Michigan from 1926 to 2000,Michigan/MI,1926 - 2000,application/pdf,The American Radicalism Collection,English
fundliv06,arc_kkk_lans.pdf,"Ku Klux Klan Rally: Lansing, Michigan, April 23, 1994.","Ku Klux Klan, Michigan State, Mary E Iorio, John B Albright",KKK; Ku Klux Klan; Racism; Extremism; Fundamentalism,Newspaper,"A newspaper article discussing the Michigan Ku Klux Klan leader's proposal for a meeting in Lansing, Michigan","Lansing, MI","April 23, 1994",application/pdf,The American Radicalism Collection,English
fundliv07,arc_prolife.pdf,Pro-Life Movement,Pro Life Movement,Abortion; Pro Life; Women; Fundamentalism,Newspaper,A collection of articles discussing the state of pro life events and organization around the US from 1971 to 2001,United States,1971 - 2001,application/pdf,The American Radicalism Collection,English
fundliv08,lc_lynmap.jpg,"Lynchings by states and counties in the United States, 1900-1931 : (data from Research Department, Tuskegee Institute) ; cleartype county outline map of the United States","American Map Company, Tuskegee Institute",Racism; Lynching,Map,A map depicting areas that lynchings occurred in the United States from 1900 to 1931,United States,1931,image/jpg,Public Domain,English
fundliv09,https://www.loc.gov/item/lcwaN0021492/ ,American Nazi Party,"Nazi Party, American Nazi Party",Nazism; Antisemitism; Racism; 9/11; Terrorism,Website,"Archived webpages from the American Nazi Party's website, particularly focused on the party's reaction to the 9/11 terrorist attacks",United States,2001,Website,Public Domain,English
fundliv10,lc_harlem.jpg,Harlemites in anti-Nazi parade,"Nazi Party, Joe Louis, Max Schmeling",Nazism; Anti Nazism; Harlem; New York; Protest,Photo,An image of Harlem residents celebrating Joe Louis's victory against Max Schmeling of Germany at Yankee Stadium,"Harlem, New York City, NY","June 22, 1938",image/jpg,Public Domain,English
fundliv11,https://www.loc.gov/item/2025661154/ ,Matthew Dallek: How the John Birch Society Radicalized the American Right,"Matthew Dallek, John Birch Society, NAACP",Anti Communism; Christianity; Economics; Politics; Christian Nationalism,Video,"A discussion with Matthew Dallek, author of ""Birchers: How the John Birch Society Radicalized the American Right,"" talking on the John Birch Society's impact on America politics",United States,"March 23rd, 2023",Video,Public Domain,English
fundliv12,arc_dd.pdf,David Duke,"David Duke, NAAWAP, Ku Klux Klan",KKK; Ku Klux Klan; Racism; Politics; Nazism,"Newspaper, Misc.","A collection of documents detailing the activities of David Duke, former Supreme Wizard of the KKK and member of the Louisana House of Representatives","United States, Lousiana ","May 31, 1990 - September 25, 1996",application/pdf,The American Radicalism Collection,English
fundliv13,wg_odd_rat.pdf,How odd of God to choose the rats,Liberty Bell Publications,Antisemitism; Nazism; Racism,Pamphlet,A pamphlet and political cartoon depicting Jewish people as rats conspiring for world domination ,"Reed, WV",197?,application/pdf,Walter Goldwater Radical Pamphlet Collection,English
fundliv14,wg_gods_call.pdf,God's call to race: by Wesley A. Swift,"Wesley A. Swift, Church of Jesus Christ Christian, Aryan Nations",Christianity; Racism; Scientific Racism,"Transcript, Sermon","A transcript of a sermon written by Wesley A. Swift using scripture and scientific racism to differentiate races, particularly African Americans, from white people","Hayden Lake, ID",198?,application/pdf,Walter Goldwater Radical Pamphlet Collection,English
fundliv15,wg_alien.pdf,Here is proof that the N.A.A.C.P. is an alien-controlled organization!,"Keep America Committee, NAACP, Albert B. Spingarn, Thurgood Marshall",Racism; Conspiracy; Antisemitism,Pamphlet,"A pamphlet describing the president of the NAACP, Albert B. Springarn, as an alien, implying the theory that a Jewish elite is behind racial advancement ","Los Angeles, CA",1960,application/pdf,Walter Goldwater Radical Pamphlet Collection,English